city,review_count,name,neighbourhood,type,business_id,full_address,state,longitude,stars,latitude,open,categories
Chandler,3,Ruby's Diner,[],business,GhC1V0MRGoma3MP0Gn28Fw,"3111 W Chandler Blvd Ste 2146 Chandler, AZ 85226",AZ,-111.897553,4.5,33.305681,FALSE,[u'Restaurants']
Phoenix,38,Lenny's Burger Shop,[],business,reMYkuDhLk4raAviOFtvOQ,"13616 N 35th Ave Ste 1 Phoenix, AZ 85029",AZ,-112.119087,4,33.597474,TRUE,"[u'Burgers', u'Restaurants']"
Mesa,3,Yee-haws,[],business,MG1IbQUurcXn8NQgXGM34Q,"4410 E University Dr Mesa, AZ 85205",AZ,-111.735789,3.5,33.423805,TRUE,"[u'Delis', u'Restaurants']"
Phoenix,3,Panda Gourmet,[],business,KqYY2rwD8ymjU9mVJwiuRQ,"9020 N 19th Ave Phoenix, AZ 85021",AZ,-112.0998396,3.5,33.5682973,TRUE,"[u'Chinese', u'Restaurants']"
Scottsdale,52,Five Guys Burger and Fries,[],business,jvvh4Q00Hq2XyIcfmAAT2A,"7014-590 E Camelback Rd Scottsdale, AZ 85251",AZ,-111.9284569,3.5,33.503323,TRUE,"[u'Burgers', u'Restaurants']"
Tempe,106,Forefathers Gourmet Cheesesteaks & Fries,[],business,RtwOc-n_RkiUuDGaNfCsNw,"8707 S Priest Dr Ste 101 Tempe, AZ 85284",AZ,-111.9631173,4,33.3351559,TRUE,"[u'Cheesesteaks', u'Sandwiches', u'Restaurants']"
Phoenix,3,Subway,[],business,0YCV8260mMgN0PxuzAtO3g,"144 N Central Ave Phoenix, AZ 85004",AZ,-112.0740911,2.5,33.4503008,TRUE,"[u'Fast Food', u'Sandwiches', u'Restaurants']"
Phoenix,3,Blimpie Subs & Salads,[],business,NtizlEdtnJX0tteMdZ-6tw,"4267 W Thunderbird Road Phoenix, AZ 85053",AZ,-112.1505433,3,33.6106566,TRUE,[u'Restaurants']
Tempe,580,Cornish Pasty Company,[],business,WNy1uzcmm_UHmTyR--o5IA,"960 W University Dr Tempe, AZ 85281",AZ,-111.951494,4.5,33.422728,TRUE,"[u'Pubs', u'Bars', u'Nightlife', u'British', u'Restaurants']"
Glendale,7,Chuck E Cheese,[],business,woihBX8gAaEDL4nWtao9dg,"6773 W Bell Road Glendale, AZ 85308",AZ,-112.2051629,2,33.6380899,TRUE,"[u'Arts & Entertainment', u'Pizza', u'Arcades', u'Restaurants']"
Phoenix,54,Kampai,[],business,0BpMvu5B9fY-KEbOuxLtFQ,"2945 E Bell Rd Ste 102 Phoenix, AZ 85032",AZ,-112.0191651,3.5,33.6399519,TRUE,"[u'Japanese', u'Restaurants']"
Scottsdale,69,Five Guys Burgers and Fries,[],business,jqZKv-7F54guDLalXEjHxg,"15435 N Scottsdale Rd Ste 100 Scottsdale, AZ 85260",AZ,-111.9254565,3.5,33.6265775,TRUE,"[u'Burgers', u'Restaurants']"
Phoenix,24,Paradise Bakery & Cafe,[],business,dzSPa5kkpQIRjMOHvDUF_Q,"2370 W Happy Valley Rd Phoenix, AZ 85085",AZ,-112.1117309,3.5,33.7129653,TRUE,"[u'Bakeries', u'Food', u'Sandwiches', u'Restaurants']"
Scottsdale,13,Sonic Drive-In,[],business,kIco4kv-FHT6QqdkDQ2cow,"2870 N Hayden Rd Scottsdale, AZ 85257",AZ,-111.9093213,3.5,33.4796348,TRUE,"[u'American (Traditional)', u'Fast Food', u'Restaurants']"
Chandler,22,Draft House On The Reef,[],business,2qbajPD8M7PJlWWaHSRR5Q,"393 W Warner Rd Chandler, AZ 85225",AZ,-111.8463705,3.5,33.3344463,TRUE,"[u'Dive Bars', u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']"
Mesa,47,Giant Hamburgers,[],business,AoO0FJyUm01lmIJJTcPWEQ,"2753 E Broadway Ste 104 Mesa, AZ 85204",AZ,-111.7716542,4,33.4064076,TRUE,"[u'Burgers', u'Restaurants']"
Phoenix,17,Tee Pee Tap Room,[],business,eK6KGMKqU_4nB9RdayZD7Q,"602 E Lincoln St Phoenix, AZ 85004",AZ,-112.0657857,3,33.4423368,TRUE,"[u'Mexican', u'Restaurants']"
Scottsdale,70,Cold Beers & Cheeseburgers,[],business,umdxfhSlk67yGEi8-S-bEg,"20831 N Scottsdale Rd Ste 117 Scottsdale, AZ 85255",AZ,-111.9246769,3,33.6765685,TRUE,"[u'Burgers', u'American (Traditional)', u'Restaurants']"
Phoenix,18,Jody Maroni's Sausage Kingdom,[],business,YowLDN2YEKVJpHv0Loqm5A,"Sky Harbor Airport - Terminal 4 3400 Sky Harbor Blvd Phoenix, AZ 85034",AZ,-112.0178286,2.5,33.4382789,TRUE,"[u'Hot Dogs', u'Restaurants']"
Phoenix,58,5th Avenue Cafe,[],business,HQFscafV3wi5z4yOKdUGRg,"501 W Thomas Rd Phoenix, AZ 85013",AZ,-112.080631,3.5,33.480016,TRUE,"[u'Breakfast & Brunch', u'Diners', u'Restaurants']"
Phoenix,549,Gallo Blanco Cafe,[],business,#NAME?,"401 W Clarendon Ave Phoenix, AZ 85013",AZ,-112.079081,4,33.49112,TRUE,"[u'Mexican', u'Restaurants']"
Phoenix,4,Turk's Fish and Chips,[],business,hBodj_f6adUAnEVUb_he_A,"6607 S Central Ave Phoenix, AZ 85042",AZ,-112.073079,2.5,33.386417,TRUE,"[u'American (Traditional)', u'Restaurants']"
Mesa,5,Souper Salad,[],business,1J1iid_qU__8_CxiS2Zw4Q,"1457 W Southern Ave Mesa, AZ 85202",AZ,-111.862526,3,33.3925142,FALSE,"[u'Buffets', u'Restaurants']"
Tempe,9,Port of Subs,[],business,6ZYt8IChJmH3Ra5IqnlivA,"1342 W Warner Rd Tempe, AZ 85281",AZ,-111.9619158,2.5,33.3345479,TRUE,"[u'Sandwiches', u'Restaurants']"
Tempe,28,Sushi Time,[],business,y8a480EiwWikqlR1inkGxg,"5136 S Rural Rd Tempe, AZ 85282",AZ,-111.9285013,3.5,33.3792532,TRUE,"[u'Sushi Bars', u'Restaurants']"
Mesa,4,Ub's Restaurant & Bar,[],business,qgVS6sBe7JNEI8otg0Y3dg,"1911 W Broadway Rd Ste 1 Mesa, AZ 85202",AZ,-111.872612,3.5,33.407138,TRUE,"[u'American (Traditional)', u'Restaurants']"
Tempe,108,Z'Tejas Southwestern Grill,[],business,hyff2JyqQgf85MaJZslHCg,"20 W 6th St Tempe, AZ 85281",AZ,-111.9409053,3.5,33.4245625,TRUE,"[u'Tex-Mex', u'Restaurants']"
Mesa,30,Matta's Grill and Cantina,[],business,qBc36uFI7orWS8NpYZCv_w,"1033 N Dobson Rd Suite 101 Mesa, AZ 85201",AZ,-111.8660545,3.5,33.435166,TRUE,"[u'Mexican', u'Restaurants']"
Phoenix,31,Zaytoon Kabob Bistro,[],business,6lcay-E_ssmzpGanKbColg,"4811 N 16th St Ste 104 Phoenix, AZ 85016",AZ,-112.047066,3,33.507549,TRUE,"[u'Mediterranean', u'Restaurants']"
Phoenix,6,Del Taco,[],business,sH17KGxbMVrlr66n92Qh8g,"16649 N Tatum Blvd Phoenix, AZ 85032",AZ,-111.977264,3,33.638672,TRUE,"[u'Fast Food', u'Mexican', u'Restaurants']"
Phoenix,326,Windsor,[],business,FURgKkRFtMK5yKbjYZVVwA,"5223 N Central Ave Phoenix, AZ 85012",AZ,-112.0734119,4,33.51369719,TRUE,"[u'American (New)', u'Restaurants']"
Tempe,7,Taco del Mar,[],business,Fb_mZcgCgvK60E3hymcpyw,"1804 E Southern Ave Tempe, AZ 85282",AZ,-111.9080584,3.5,33.3931628,FALSE,"[u'Mexican', u'Restaurants']"
Phoenix,5,Burger Betty's,[],business,OwHqwmHwswArpv3m3dlw_Q,"5111 N 7th St Phoenix, AZ 85014",AZ,-112.06434,2.5,33.511332,FALSE,"[u'Bars', u'Food', u'Beer, Wine & Spirits', u'Breakfast & Brunch', u'Burgers', u'Gay Bars', u'Nightlife', u'Restaurants']"
Phoenix,12,Nathans Famous Hotdogs,[],business,kMxYp2GZL5ic6b05gPP57Q,"3800 W Sky Harbor Blvd T4/S3 Phoenix, AZ 85034",AZ,-111.9969141,2,33.4341095,TRUE,"[u'Hot Dogs', u'Restaurants']"
Glendale,40,Oscar's Pier 83 fish and chips,[],business,bzXDUQ-5Odzx5WZNoSoANg,"18589 N. 59th avenue Glendale, AZ 85308",AZ,-112.184993,4,33.65316,TRUE,"[u'Fish & Chips', u'Restaurants']"
Phoenix,121,Great Wall Cuisine,[],business,0db71MbrvcJnyk71COCJBg,"5057 N 35th Ave Phoenix, AZ 85017",AZ,-112.134201,3.5,33.5108735,TRUE,"[u'Chinese', u'Restaurants']"
Scottsdale,5,Java Me Craze',[],business,WVs0Q355wHQ4d1KZOHReZA,"6900 E Camelback Rd Ste A38 Scottsdale, AZ 85251",AZ,-111.9315649,4.5,33.502612,TRUE,"[u'Food', u'Coffee & Tea', u'Sandwiches', u'Restaurants']"
Goodyear,3,KFC,[],business,8HmSt7fRFe-uH6i4yCmJQQ,"1470 N Dysart Rd Goodyear, AZ 85338",AZ,-112.3411836,1,33.4517561,TRUE,"[u'Fast Food', u'Restaurants']"
Mesa,21,Burrito Express,[],business,qdA4qiSXjaiuqO4SueH9VA,"450 N Alma School R Mesa, AZ 85201",AZ,-111.8564229,3.5,33.4234775,TRUE,"[u'Mexican', u'Restaurants']"
Chandler,3,Uno Stop,[],business,qnKX52X6N9tp5qcK3QankA,"30 W Galveston St Chandler, AZ 85225",AZ,-111.8425,4.5,33.313742,TRUE,"[u'Dry Cleaning & Laundry', u'Food', u'Local Services', u'Convenience Stores', u'Korean', u'Restaurants']"
Glendale,3,Tortas La Presa #2,[],business,3VTBObOAUyDQfpsndTz_pg,"4425 W Glendale Avenue Glendale, AZ 85301",AZ,-112.1542252,3.5,33.5384488,TRUE,"[u'Mexican', u'Restaurants']"
Tempe,12,Tailgate Sports Bar & Grill,[],business,h-9z4dgdEghdPLeDMLpDYA,"930 W Broadway Rd Tempe, AZ 85282",AZ,-111.952872,4,33.407724,TRUE,"[u'Bars', u'Restaurants', u'American (Traditional)', u'Sports Bars', u'Nightlife']"
Gilbert,3,Chipotle,[],business,In93N5Jqu85xAh0qQ2jb1w,"2224 E Williams Field Rd Gilbert, AZ 85297",AZ,-111.7428631,3.5,33.30780509,TRUE,"[u'Mexican', u'Restaurants']"
Tempe,4,Boston Market,[],business,nih6RQC-HttWiO28HOcfOA,"3435 S McClintock Dr Tempe, AZ 85282",AZ,-111.9089862,3.5,33.3912468,TRUE,"[u'American (Traditional)', u'Comfort Food', u'Caterers', u'Event Planning & Services', u'Restaurants']"
Tempe,89,Picazzo's Organic Italian Kitchen,[],business,3jqOv6re-xPYOg7srmi7tg,"440 W Warner Rd Tempe, AZ 85284",AZ,-111.9445728,4,33.3350531,FALSE,"[u'Pizza', u'Restaurants']"
Surprise,3,Jack in the Box,[],business,h_FP6Lho52MIorjH8GuerQ,"16760 W Bell Rd Surprise, AZ 85374",AZ,-112.419796,3,33.639044,TRUE,"[u'Fast Food', u'Restaurants']"
Phoenix,4,Jack in the Box,[],business,rSZj7lgBxREaMhGMnjuZ3g,"4741 E McDowell Rd Phoenix, AZ 85008",AZ,-111.978816,3,33.465334,TRUE,"[u'Fast Food', u'Restaurants']"
Surprise,29,NYPD Pizza,[],business,kN8792XEJfCtpD5GJLmI6g,"13980 W Bell Rd Ste 1 Surprise, AZ 85374",AZ,-112.361552,4,33.64032,TRUE,"[u'Italian', u'Pizza', u'Restaurants']"
Phoenix,22,Mel's Diner,[],business,lnX2gaGdO0fNtykyFrp1AA,"1747 Grand Ave Phoenix, AZ 85007",AZ,-112.0981742,3.5,33.4643554,TRUE,"[u'American (Traditional)', u'Diners', u'Restaurants']"
Scottsdale,9,LV Bistro,[],business,oRwWdpARqCjam6k_za8wOA,"The Scottsdale Princess Hotel 7575 E. Princess Drive Scottsdale, AZ 85255",AZ,-111.9189477,2.5,33.6462961,TRUE,"[u'American (Traditional)', u'Restaurants']"
Chandler,22,Siracha Lounge,[],business,um2sEf_ITsCc536kPQ6Umg,"91 W Boston St Chandler, AZ 85224",AZ,-111.8426724,3.5,33.3021786,FALSE,"[u'Sushi Bars', u'Nightlife', u'Restaurants']"
Scottsdale,3,Pizza Hut,[],business,Xn06AozwcTvUPFNkknbgnw,"11291 E Via Linda Ste 128 Scottsdale, AZ 85259",AZ,-111.8373499,3,33.58710962,TRUE,"[u'Fast Food', u'Pizza', u'Restaurants']"
Casa Grande,11,China Buffet,[],business,WxLMUX59m6sSszVNLnHDEw,"1677 E Florence Boulevard Casa Grande, AZ 85222",AZ,-111.7157877,3,32.8786089,TRUE,"[u'Buffets', u'Chinese', u'Restaurants']"
Phoenix,23,Smashburger,[],business,qAORECtABjr_FsvSzy1apw,"21001 N  Tatum Blvd Ste 34-1140 Phoenix, AZ 85050",AZ,-111.9746066,3,33.678615,TRUE,"[u'Burgers', u'American (Traditional)', u'Hot Dogs', u'Restaurants']"
Phoenix,3,Fuddruckers,[],business,#NAME?,"1928 E Highland Ave Phoenix, AZ 85016",AZ,-112.040429,4,33.5056919,FALSE,"[u'Burgers', u'Restaurants']"
Gilbert,15,Native New Yorker,[],business,aZFxdrDmfO10e3k2LNNFPw,"110 S Val Vista Dr Gilbert, AZ 85296",AZ,-111.756931,3.5,33.347758,FALSE,"[u'American (Traditional)', u'Restaurants']"
Scottsdale,28,Tokyo Express,[],business,EuNV8_SReV_3KeET2Ums6A,"3530 N Goldwater Blvd Scottsdale, AZ 85251",AZ,-111.9271068,3,33.4892464,TRUE,"[u'Fast Food', u'Sushi Bars', u'Japanese', u'Restaurants']"
Phoenix,6,Weather & Coffee,[],business,QQ-lSbz4ARm1MQA5z8-nAw,"3607 East Bell Road, Ste. #1 Phoenix, AZ 85032",AZ,-112.004291,4.5,33.640076,FALSE,"[u'Food', u'Coffee & Tea', u'Sandwiches', u'Restaurants']"
Scottsdale,7,Jack-In-the Box,[],business,_dVPzYGXKNg2rIsc40VtyA,"8030 E Indian School Rd Scottsdale, AZ 85251",AZ,-111.9078794,2.5,33.4952011,TRUE,"[u'Fast Food', u'Restaurants']"
Goodyear,44,Akai Hana Sushi & Grill,[],business,x0NOgX6P4x-82cC0kcO1hg,"2293 N Pebble Creek Pkwy Ste 101 Goodyear, AZ 85338",AZ,-112.3920143,4,33.47209058,TRUE,"[u'Sushi Bars', u'Restaurants']"
Glendale,12,Brother's Pizza,[],business,Dim6R6ki5Z_05bk_V1htbQ,"6635 W Happy Valley Road Suite A104 Glendale, AZ 85310",AZ,-112.202473,3,33.710671,TRUE,"[u'Pizza', u'Restaurants']"
Scottsdale,26,Ocean Trail,[],business,e8Eke5v8pXw-PuRCu2uPjg,"Talking Stick Resort 9800 E Indian Bend Rd Scottsdale, AZ 85256",AZ,-111.865693,5,33.538873,TRUE,"[u'Seafood', u'Cajun/Creole', u'Restaurants']"
Phoenix,7,Papa John's,[],business,JUe_TAe9T9MZXutb5fblDg,"231 W Thomas Rd Phoenix, AZ 85013",AZ,-112.077889,2.5,33.4802381,TRUE,"[u'Pizza', u'Restaurants']"
Phoenix,141,Pomegranate Cafe,[],business,lVkDZZ8sTafPlq7f1i5row,"4025 E Chandler Blvd Ste 28 Phoenix, AZ 85048",AZ,-111.99506,4,33.3051122,TRUE,"[u'Food', u'Coffee & Tea', u'Breakfast & Brunch', u'Vegan', u'Restaurants']"
Apache Junction,6,Grand Buffet,[],business,u2hGxSbpIOZZ3KliIELuTQ,"2430 W Apache Trl Apache Junction, AZ 85220",AZ,-111.5722283,2.5,33.4160688,TRUE,"[u'Chinese', u'Restaurants']"
Goodyear,9,Picazzo's Gourmet Pizza,[],business,SDs4eWoV-cpJystzTAH0qg,"14970 W Indian School Rd Goodyear, AZ 85395",AZ,-112.380047,3,33.492737,FALSE,"[u'Restaurants', u'Pizza', u'Italian']"
Scottsdale,6,Port of Subs and Smoothie King,[],business,cof7qW-PD0M7Jykclg48oQ,"3737 N Scottsdale Rd Scottsdale, AZ 85251",AZ,-111.9258402,3.5,33.4916179,FALSE,"[u'Health Markets', u'Food', u'Restaurants', u'Sandwiches', u'Specialty Food']"
Chandler,65,Mikado Sushi,[],business,cfy-C6XNFt-F-dCQfK7EDQ,"3125 S Alma School Rd Chandler, AZ 85248",AZ,-111.857235,4,33.261388,TRUE,"[u'Sushi Bars', u'Restaurants']"
Goodyear,5,Schlotzsky's,[],business,#NAME?,"395 N Litchfield Rd Goodyear, AZ 85338",AZ,-112.357595,3.5,33.451414,TRUE,"[u'Sandwiches', u'Restaurants']"
Phoenix,8,Little Dragon Chinese Restaurant,[],business,LeTMz4hrsdHhiS-vNBj82A,"4327 W Thomas Road Phoenix, AZ 85031",AZ,-112.1530731,4.5,33.4803555,TRUE,"[u'Chinese', u'Restaurants']"
Scottsdale,107,American Junkie,[],business,-9pVS__IliMA2aNEYzrQrg,"4363 N 75th St Scottsdale, AZ 85251",AZ,-111.919817,3,33.500169,TRUE,"[u'Nightlife', u'Bars', u'American (Traditional)', u'Sports Bars', u'Restaurants']"
Phoenix,14,Port of Subs,[],business,wzQAmzQopWcfoCG8lfiE_w,"1855 W Deer Valley Rd Phoenix, AZ 85027",AZ,-112.098958,3,33.683666,TRUE,"[u'Delis', u'Sandwiches', u'Restaurants']"
Phoenix,21,Greek Patio,[],business,Gw8DsQQCO5m1hggXqwynFg,"402 E Greenway Blvd Phoenix, AZ 85073",AZ,-112.0739,3,33.4499,TRUE,"[u'Greek', u'Mediterranean', u'Restaurants']"
Phoenix,11,Culver's,[],business,zwHM6hz8swKIG-4-BSKMPA,"4506 E Cactus Rd Phoenix, AZ 85032",AZ,-111.9862419,3.5,33.5998438,TRUE,"[u'Food', u'Burgers', u'Sandwiches', u'Ice Cream & Frozen Yogurt', u'Restaurants']"
Phoenix,4,TGI Friday's,[],business,Q5diW79GD0MSJ10j1HCf8Q,"11025 N Black Canyon Hwy Phoenix, AZ 85073",AZ,-112.11578,1,33.586891,FALSE,"[u'American (Traditional)', u'American (New)', u'Restaurants']"
Phoenix,3,Panda Express,[],business,LtdVdYhs7MAwwTBuHhdsFQ,"5229 W Indian School Rd Phoenix, AZ 85031",AZ,-112.1696984,2,33.4950075,TRUE,"[u'Fast Food', u'Chinese', u'Restaurants']"
Scottsdale,15,The Corn Flower,[],business,7vz3HGtHzvz1JjiphH9uOQ,"4807 E Greenway Rd Ste 5 Scottsdale, AZ 85254",AZ,-111.977313,4,33.625322,TRUE,"[u'Mexican', u'Restaurants']"
Cave Creek,8,Rosati's Pizza,[],business,4KYZxeMyZ5YUp5GvmmCd-Q,"28325 N Tatum Blvd Cave Creek, AZ 85331",AZ,-111.977509,3,33.742499,TRUE,"[u'Pizza', u'Restaurants']"
Mesa,3,Gusto's Pizza,[],business,TI-4Yp-hvVimC3LJP0f59Q,"1620 W University Dr Mesa, AZ 85201",AZ,-111.8660527,3.5,33.4221397,FALSE,"[u'Pizza', u'Restaurants']"
Chandler,4,Sub Zone,[],business,d4-PiJfqs-_ChKyWuoa0_Q,"2080 N Dobson Rd Chandler, AZ 85224",AZ,-111.876964,4.5,33.33652,TRUE,"[u'Sandwiches', u'Restaurants']"
Tempe,88,Macayo's Depot Cantina,[],business,FG_GRMLSj68ximzfrr9eWw,"300 S Ash Ave Tempe, AZ 85281",AZ,-111.943236,2.5,33.427732,TRUE,"[u'Mexican', u'Restaurants']"
Chandler,35,Rumbi Island Grill,[],business,jj-K19oswZARMwCQK-b37A,"885 N 54th St Chandler, AZ 85226",AZ,-111.9684653,4,33.3173142,TRUE,"[u'Caribbean', u'Restaurants']"
Surprise,72,Big Buddha,[],business,mjoxSQR7bFQtlIIjfNfaSQ,"16572 W Greenway Rd Ste 115 Surprise, AZ 85388",AZ,-112.4159659,4,33.6239817,TRUE,"[u'Chinese', u'Restaurants']"
Tempe,477,Green,[],business,c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd Tempe, AZ 85281",AZ,-111.927166,4.5,33.4537869,TRUE,"[u'Vegetarian', u'Vegan', u'Restaurants']"
Chandler,50,Tokyo House,[],business,l1kqHWtICTNk8TdCNisf5A,"2050 N Alma School Rd Ste 5 Chandler, AZ 85224",AZ,-111.8594885,4.5,33.33657881,TRUE,"[u'Japanese', u'Restaurants']"
Gilbert,3,Chef H,[],business,NB3Oli21be-k4r_iy4oC0Q,"3107 S Lindsay Rd Gilbert, AZ 85296",AZ,-111.773654,3.5,33.293754,FALSE,"[u'Greek', u'Mediterranean', u'Restaurants']"
Maricopa,7,Romy's BBQ,[],business,vJ_mfmsWhFJBVNztbk003g,"44301 W Maricopa Casa Grande Hwy Maricopa, AZ 85239",AZ,-112.043887,4.5,33.0546833,TRUE,"[u'Barbeque', u'Restaurants']"
Phoenix,4,Jack-In-the Box Drive Thru,[],business,tEvGNTPLV01OiUt_SKn2Ww,"1802 W Bell Road Phoenix, AZ 85023",AZ,-112.097743,4,33.640581,TRUE,[u'Restaurants']
Scottsdale,4,Dairy Queen,[],business,Pl1qDTX90DSLHo-ZAlAh9w,"2230 N Scottsdale Road Scottsdale, AZ 85257",AZ,-111.9264432,3.5,33.4726716,TRUE,"[u'Food', u'Ice Cream & Frozen Yogurt', u'Fast Food', u'Restaurants']"
Phoenix,13,Rosati's Pizza,[],business,qP_IDUD0G_iTZitOypzrzA,"2320 E Baseline Rd Phoenix, AZ 85042",AZ,-112.0323812,3,33.3778548,TRUE,"[u'Pizza', u'Restaurants']"
Phoenix,3,Charley's Grilled Subs,[],business,MQjBx1iVmIz6uI9T0DIkKw,"3013 W Agua Fria Fwy Ste 3 Phoenix, AZ 85027",AZ,-112.12371,3.5,33.666682,TRUE,"[u'Delis', u'Restaurants']"
Scottsdale,3,Lucy's Cafe & Grill,[],business,xPSLlgEewbXbjsy-LdsBsg,"7678 E Greenway Rd Ste 104 Scottsdale, AZ 85260",AZ,-111.915163,3.5,33.6260369,TRUE,"[u'Breakfast & Brunch', u'Delis', u'Sandwiches', u'Restaurants']"
Buckeye,3,El Pollo Loco,[],business,1PM40DbmTVCNgENzZfs1kg,"758 S Watson Rd Buckeye, AZ 85326",AZ,-112.5564814,4.5,33.4393455,TRUE,"[u'Mexican', u'Restaurants']"
Scottsdale,3,The Apple Cafe,[],business,U7sejo2TGadsrAIdxCRKeQ,"15040 N Northsight Blvd Scottsdale, AZ 85260",AZ,-111.8970223,3.5,33.6223725,FALSE,"[u'American (Traditional)', u'Sandwiches', u'Restaurants']"
Glendale,21,Pete's Fish & Chips,[],business,Yw86Jnab9ixke9xJ5pLhMQ,"5516 W Glendale Ave Glendale, AZ 85301",AZ,-112.1783249,2.5,33.5385792,TRUE,"[u'Seafood', u'Restaurants']"
Phoenix,193,Pizza A Metro,[],business,XkNQVTkCEzBrq7OlRHI11Q,"2336 W Thomas Rd Phoenix, AZ 85015",AZ,-112.1091081,4.5,33.4806776,TRUE,"[u'Restaurants', u'Pizza', u'Italian']"
Phoenix,26,Gil's Taste of Taos,[],business,NBwPgX7L2D-EZedgo3A-pw,"1601 E Bell Rd Ste A-8 Phoenix, AZ 85022",AZ,-112.047055,3.5,33.639747,TRUE,"[u'Diners', u'Mexican', u'Tex-Mex', u'Restaurants']"
Tempe,32,Jimmy John's,[],business,0NhcabzEyeCIMsNCPOX-MQ,"5128 Rural Rd Tempe, AZ 85282",AZ,-111.9286939,3,33.3785219,TRUE,"[u'Food', u'Food Delivery Services', u'Delis', u'Sandwiches', u'Restaurants']"
Phoenix,3,McDonald's,[],business,nQOfSLVkN6GnBCYKSc0vYg,"926 E Indian School Rd Phoenix, AZ 85012",AZ,-112.061875,2,33.495238,TRUE,"[u'Burgers', u'Fast Food', u'Restaurants']"
Chandler,5,McDonald's,[],business,cwyAZ52cV60e-NiF-jWCMQ,"3185 S Alma School Rd Chandler, AZ 85248",AZ,-111.8579232,1.5,33.2596494,TRUE,"[u'Fast Food', u'Restaurants']"
Mesa,16,Native New Yorker,[],business,zBGfa6Vx4K59v8OR81gzJg,"1559 S Gilbert Rd Mesa, AZ 85204",AZ,-111.788226,3,33.3876436,TRUE,"[u'American (Traditional)', u'Restaurants']"
Anthem,3,Persimmon Bar & Grille,[],business,HrTXmtWrsgmWnoqV5nbTGg,"Anthem Country Club 2708 W Anthem Club Dr Anthem, AZ 85086",AZ,-112.110251,4,33.865303,TRUE,"[u'American (New)', u'Restaurants']"
Chandler,30,Pita Heaven,[],business,7-vGQpfj0RcOD-Cy7CXDiA,"2580 W Chandler Blvd Ste 3 Chandler, AZ 85224",AZ,-111.88557,3.5,33.306806,TRUE,"[u'Greek', u'Mediterranean', u'Middle Eastern', u'Restaurants']"
